ID	ACTIVATIONDATE	DEACTIVATIONDATE	NAME	STATIONNUMBER	VISTANAME	AGENCY_ID	STREETCOUNTRY_ID	STREETADDRESSLINE1	STREETADDRESSLINE2	STREETADDRESSLINE3	STREETCITY	STREETSTATE_ID	STREETCOUNTY_ID	STREETPOSTALCODE	MAILINGCOUNTRY_ID	MAILINGADDRESSLINE1	MAILINGADDRESSLINE2	MAILINGADDRESSLINE3	MAILINGCITY	MAILINGSTATE_ID	MAILINGCOUNTY_ID	MAILINGPOSTALCODE	FACILITYTYPE_ID	MFN_ZEG_RECIPIENT	PARENT_ID	REALIGNEDFROM_ID	REALIGNEDTO_ID	VISN_ID	VERSION	CREATED	UPDATED	CREATEDBY	UPDATEDBY	CODE	POSTALNAME
"1,000,543"			GRAFTON	437GA	GRAFTON	"1,009,121"	"1,006,840"	701 WEST 6TH STREET			GRAFTON	"1,009,338"		58237-1379	"1,006,840"	ND STATE DEVELOPMENTAL CENTER VA CLINIC			GRAFTON	"1,009,338"		58237-1379	"1,009,148"	0	"1,000,096"			"1,002,223"	0	6/4/2004 1:18:48.000000 PM	4/12/2012 2:13:47.154113 PM	Initial Load	DataBroker - CQ# 0771 02/06/2012	CBOC	ND
"1,000,544"			BISMARCK	437GB	BISMARCK	"1,009,121"	"1,006,840"	"2700 STATE STREET, SUITE #F"			BISMARCK	"1,009,338"		58503-0069	"1,006,840"								"1,009,148"	0	"1,000,096"			"1,002,223"	0	6/4/2004 1:18:48.000000 PM	8/6/2015 2:37:04.895453 PM	Initial Load	DataBroker - CQ# 0932 07/08/2015	CBOC	ND
"1,000,545"			FERGUS FALLS	437GC	FERGUS FALLS	"1,009,121"	"1,006,840"	1821 N PARK ST			FERGUS FALLS	"1,009,327"		56537-1247	"1,006,840"	FERGUS FALLS VA OUTPATIENT CLINIC			FERGUS FALLS	"1,009,327"		56537-1247	"1,009,148"	0	"1,000,096"			"1,002,223"	0	6/4/2004 1:18:48.000000 PM	4/12/2012 2:13:47.159341 PM	Initial Load	DataBroker - CQ# 0771 02/06/2012	CBOC	MN
"1,000,546"			MINOT CBOC	437GD	MINOT CBOC	"1,009,121"	"1,006,840"	10 MISSILE AVE			MINOT	"1,009,338"		58705-5003	"1,006,840"								"1,009,148"	0	"1,000,096"			"1,002,223"	0	6/4/2004 1:18:48.000000 PM	1/7/2013 2:59:45.221482 PM	Initial Load	DataBroker - CQ# 0830 12/12/2012	CBOC	ND
"1,000,549"			SPIRIT LAKE CBOC	438GA	SPIRIT LAKE CBOC	"1,009,121"	"1,006,840"	DICKINSON COUNTY COURTYARD 1310 LAKE ST			SPIRIT LAKE	"1,009,319"		51360-1100	"1,006,840"	"DICKINSON COUNTY COURTYARD, 1310 LAKE ST"			SPIRIT LAKE	"1,009,319"		51360-1100	"1,009,148"	0	"1,000,097"			"1,002,223"	0	6/4/2004 1:18:48.000000 PM	4/12/2012 2:13:47.164103 PM	Initial Load	DataBroker - CQ# 0771 02/06/2012	CBOC	IA
"1,000,550"			SIOUX CITY CBOC	438GC	SIOUX CITY	"1,009,121"	"1,006,840"	1551 INDIAN HILLS			SIOUX CITY	"1,009,319"		51104-1859	"1,006,840"	1551 INDIAN HILLS			SIOUX CITY	"1,009,319"		51104	"1,009,148"	0	"1,000,097"			"1,002,223"	0	6/4/2004 1:18:48.000000 PM	4/12/2012 2:13:47.166511 PM	Initial Load	DataBroker - CQ# 0771 02/06/2012	CBOC	IA
"1,000,551"			ABERDEEN CBOC	438GD	ABERDEEN CBOC	"1,009,121"	"1,006,840"	"2301 8TH AVE NE, SUITE 225"			ABERDEEN	"1,009,346"		57401-3252	"1,006,840"	"2301 8TH AVE NE, SUITE 225"			ABERDEEN	"1,009,346"		57401-3252	"1,009,148"	0	"1,000,097"			"1,002,223"	0	6/4/2004 1:18:48.000000 PM	4/12/2012 2:13:47.168973 PM	Initial Load	DataBroker - CQ# 0771 02/06/2012	CBOC	SD
"1,000,555"			SIDNEY VA CLINC	442GB	SIDNEY VA CLINC	"1,009,121"	"1,006,840"	1116 10TH ST			SIDNEY	"1,009,331"		69162-2001	"1,006,840"	1116 10TH ST			SIDNEY	"1,009,331"		69162-2001	"1,009,148"	0	"1,000,098"			"1,002,219"	0	6/4/2004 1:18:48.000000 PM	12/9/2015 9:44:39.819569 AM	Initial Load	DataBroker - CQ# 0936 11/03/2015	CBOC	NE
"1,000,556"			FORT COLLINS VA CLINIC	442GC	FORT COLLINS VA CLINIC	"1,009,121"	"1,006,840"	2509 RESEARCH BLVD			FORT COLLINS	"1,009,308"		80526-8108	"1,006,840"								"1,009,148"	0	"1,000,098"			"1,002,219"	0	6/4/2004 1:18:48.000000 PM	12/9/2015 9:44:39.825340 AM	Initial Load	DataBroker - CQ# 0936 11/03/2015	CBOC	CO
"1,000,557"			GREELEY VA CLINIC	442GD	GREELEY VA CLINIC	"1,009,121"	"1,006,840"	2001 70TH AVE #200			GREELEY	"1,009,308"		80634-4613	"1,006,840"								"1,009,148"	0	"1,000,098"			"1,002,219"	0	6/4/2004 1:18:48.000000 PM	12/9/2015 9:44:39.830528 AM	Initial Load	DataBroker - CQ# 0936 11/03/2015	CBOC	CO
"1,000,568"			MAUI VA CLINIC	459GA	MAUI VA CLINIC	"1,009,121"	"1,006,840"	"203 HO'OHANA STREET, SUITE 303"			KAHULUI	"1,009,315"		96732-2476	"1,006,840"	"203 HO'OHANA STREET, SUITE 303"			KAHULUI	"1,009,315"		96732-2476	"1,009,148"	0	"1,000,103"			"1,002,221"	0	6/4/2004 1:18:48.000000 PM	12/9/2015 9:44:39.836015 AM	Initial Load	DataBroker - CQ# 0936 11/03/2015	CBOC	HI
"1,000,569"			HILO CBOC	459GB	HILO CLINIC	"1,009,121"	"1,006,840"	"1285 WAIANAUNUE AVE., STE 211"			HILO	"1,009,315"		96720-1209	"1,006,840"	"1285 WAIANAUNUE AVE., STE 211"			HILO	"1,009,315"		96720-1209	"1,009,148"	0	"1,000,103"			"1,002,221"	0	6/4/2004 1:18:48.000000 PM	4/12/2012 2:13:47.188682 PM	Initial Load	DataBroker - CQ# 0771 02/06/2012	CBOC	HI
"1,000,570"			KONA CBOC	459GC	KONA CLINIC	"1,009,121"	"1,006,840"	75-377 HUALALAI RD			KAILUA-KONA	"1,009,315"		96740-9724	"1,006,840"	75-377 HUALALAI RD			KAILUA-KONA	"1,009,315"		96740-9724	"1,009,148"	0	"1,000,103"			"1,002,221"	0	6/4/2004 1:18:48.000000 PM	4/12/2012 2:13:47.191051 PM	Initial Load	DataBroker - CQ# 0771 02/06/2012	CBOC	HI
"1,000,571"			KAUAI CBOC	459GD	KAUAI CLINIC	"1,009,121"	"1,006,840"	4485 PAHEE ST #150			LIHUE	"1,009,315"		96766-2018	"1,006,840"								"1,009,148"	0	"1,000,103"			"1,002,221"	0	6/4/2004 1:18:48.000000 PM	12/4/2012 2:30:43.214277 PM	Initial Load	DataBroker - CQ# 0800 10/17/2012	CBOC	HI
"1,000,572"			GUAM CBOC	459GE	GUAM CLINIC	"1,009,121"	"1,006,840"	498 CHALAN PALAYSO			GUAM	"1,009,366"		96910-6427	"1,006,840"	498 CHALAN PALAYSO			AGANA HEIGHTS	"1,009,366"		96910-6427	"1,009,148"	0	"1,000,103"			"1,002,221"	0	6/4/2004 1:18:48.000000 PM	4/12/2012 2:13:47.196032 PM	Initial Load	DataBroker - CQ# 0771 02/06/2012	CBOC	GU
"1,000,180"			"VA HEARTLAND - WEST, VISN 15 (589)"	589	"VA HEARTLAND - WEST, VISN 15"	"1,009,121"	"1,006,840"	4801 LINWOOD BLVD.			KANSAS CITY	"1,009,329"		64128-2226	"1,006,840"	4801 LINWOOD BLVD			KANSAS CITY	"1,009,329"		64128-2226	"1,009,231"	1	"1,002,215"			"1,002,215"	0	6/4/2004 1:18:48.000000 PM	12/4/2012 2:30:43.065515 PM	Initial Load	DataBroker - CQ# 0800 10/17/2012	VAMC	MO
"1,000,181"			HAMPTON VA MEDICAL CENTER	590	HAMPTON VA MEDICAL CENTER	"1,009,121"	"1,006,840"	100 EMANCIPATION DRIVE			HAMPTON	"1,009,351"		23667-0001	"1,006,840"	100 EMANCIPATION DRIVE			HAMPTON	"1,009,351"		23667-0001	"1,009,231"	1	"1,002,206"			"1,002,206"	0	6/4/2004 1:18:48.000000 PM	12/9/2015 9:44:39.518908 AM	Initial Load	DataBroker - CQ# 0936 11/03/2015	VAMC	VA
"1,000,184"			SOUTHERN NEVADA HCS	593	SOUTHERN NEVADA HCS	"1,009,121"	"1,006,840"	6900 NORTH PECOS ROAD			LAS VEGAS	"1,009,332"		89086-4400	"1,006,840"								"1,009,231"	1	"1,002,221"			"1,002,221"	0	6/4/2004 1:18:48.000000 PM	6/9/2016 10:07:16.105414 AM	Initial Load	DataBroker - CQ# 0943 5/4/2016	VAMC	NV
"1,000,186"			LEBANON VA MEDICAL CENTER	595	LEBANON VA MEDICAL CENTER	"1,009,121"	"1,006,840"	1700 SOUTH LINCOLN AVE.			LEBANON	"1,009,342"		17042-7529	"1,006,840"	1700 SOUTH LINCOLN AVE			LEBANON	"1,009,342"		17042-7529	"1,009,231"	1	"1,002,204"			"1,002,204"	0	6/4/2004 1:18:48.000000 PM	12/28/2015 11:05:27.104896 AM	Initial Load	DataBroker - CQ# 0938 12/09/2015	VAMC	PA
"1,000,187"			LEXINGTON VAMC-LEESTOWN	596	LEXINGTON VAMC-LEESTOWN	"1,009,121"	"1,006,840"	1101 VETERANS DRIVE			LEXINGTON	"1,009,321"		40511-1052	"1,006,840"	1101 VETERANS DRIVE			LEXINGTON	"1,009,321"		40511-1052	"1,009,231"	1	"1,002,209"			"1,002,209"	0	6/4/2004 1:18:48.000000 PM	12/9/2015 9:44:39.538983 AM	Initial Load	DataBroker - CQ# 0936 11/03/2015	VAMC	KY
"1,000,189"			CENTRAL ARKANSAS HEALTH CARE SYSTEM - LITTLE ROCK	598	CENTRAL ARKANSAS HCS	"1,009,121"	"1,006,840"	4300 WEST 7TH			LITTLE ROCK	"1,009,305"		72205-5446	"1,006,840"	4300 WEST 7TH			LITTLE ROCK	"1,009,305"		72205-5446	"1,009,231"	1	"1,002,216"			"1,002,216"	0	6/4/2004 1:18:48.000000 PM	5/10/2012 5:08:50.528563 PM	Initial Load	DataBroker - CQ# 0777 04/17/2012	VAMC	AR
"1,000,191"			VA LONG BEACH HEALTHCARE SYSTEM	600	LONG BEACH VAMC	"1,009,121"	"1,006,840"	5901 EAST 7TH ST			LONG BEACH	"1,009,306"		90822-5201	"1,006,840"	5901 East 7th St			Long Beach	"1,009,306"		90822-5201	"1,009,231"	1	"1,002,222"			"1,002,222"	0	6/4/2004 1:18:48.000000 PM	5/10/2012 5:08:50.531822 PM	Initial Load	DataBroker - CQ# 0777 04/17/2012	VAMC	CA
"1,000,194"			ROBLEY REX VAMC	603	ROBLEY REX VAMC	"1,009,121"	"1,006,840"	800 ZORN AVE			LOUISVILLE	"1,009,321"		40206-1433	"1,006,840"	800 ZORN AVE			LOUISVILLE	"1,009,321"		40206-1433	"1,009,231"	1	"1,002,209"			"1,002,209"	0	6/4/2004 1:18:48.000000 PM	12/9/2015 9:44:39.550540 AM	Initial Load	DataBroker - CQ# 0936 11/03/2015	VAMC	KY
"1,000,108"			RAYMOND G. MURPHY VAMC	501	RAYMOND G. MURPHY VAMC	"1,009,121"	"1,006,840"	1501 San Pedro Dr. SE			Albuquerque	"1,009,335"		87108-5103	"1,006,840"	1501 San Pedro Dr. S.E.			Albuquerque	"1,009,335"		87108-5103	"1,009,231"	1	"1,002,218"			"1,002,218"	0	6/4/2004 1:18:48.000000 PM	12/9/2015 9:44:39.316255 AM	Initial Load	DataBroker - CQ# 0936 11/03/2015	VAMC	NM
"1,000,109"			ALEXANDRIA VA MEDICAL CENTER	502	ALEXANDRIA VA MEDICAL CENTER	"1,009,121"	"1,006,840"	2495 SHREVEPORT HWY 71 NORTH			PINEVILLE	"1,009,322"		71360-4044	"1,006,840"	2495 SHREVEPORT HWY 71 NORTH			PINEVILLE	"1,009,322"		71360-4044	"1,009,231"	1	"1,002,216"			"1,002,216"	0	6/4/2004 1:18:48.000000 PM	12/9/2015 9:44:39.325102 AM	Initial Load	DataBroker - CQ# 0936 11/03/2015	VAMC	LA
"1,000,110"			JAMES E VAN ZANDT VAMC	503	JAMES E VAN ZANDT VAMC	"1,009,121"	"1,006,840"	2907 PLEASANT VALLEY BOULEVARD			ALTOONA	"1,009,342"		16602-4305	"1,006,840"	2907 PLEASANT VALLEY BOULEVARD			ALTOONA	"1,009,342"		16602-4305	"1,009,231"	1	"1,002,204"			"1,002,204"	0	6/4/2004 1:18:48.000000 PM	12/9/2015 9:44:39.334200 AM	Initial Load	DataBroker - CQ# 0936 11/03/2015	VAMC	PA
"1,000,111"			AMARILLO HCS	504	AMARILLO HCS	"1,009,121"	"1,006,840"	6010 AMARILLO BLVD WEST			AMARILLO	"1,009,348"		79106-1990	"1,006,840"	6010 AMARILLO BLVD WEST			AMARILLO	"1,009,348"		79106-1990	"1,009,231"	1	"1,002,217"			"1,002,217"	0	6/4/2004 1:18:48.000000 PM	6/9/2016 10:07:15.997055 AM	Initial Load	DataBroker - CQ# 0943 5/4/2016	VAMC	TX
"1,000,113"			ANN ARBOR VA MEDICAL CENTER	506	ANN ARBOR VA MEDICAL CENTER	"1,009,121"	"1,006,840"	2215 Fuller Road			ANN ARBOR	"1,009,326"		48105-2303									"1,009,231"	1	"1,002,210"			"1,002,210"	0	6/4/2004 1:18:48.000000 PM	6/9/2016 10:07:16.004511 AM	Initial Load	DataBroker - CQ# 0943 5/4/2016	VAMC	MI
"1,000,114"			ATLANTA VAMC	508	ATLANTA VAMC	"1,009,121"	"1,006,840"	1670 CLAIRMONT RD			DECATUR	"1,009,313"		30033-4004	"1,006,840"	1670 CLAIRMONT RD			DECATUR	"1,009,313"		30033-4004	"1,009,231"	1	"1,002,207"			"1,002,207"	0	6/4/2004 1:18:48.000000 PM	5/10/2012 5:08:50.337978 PM	Initial Load	DataBroker - CQ# 0777 04/17/2012	VAMC	GA
"1,000,115"			AUGUSTA VAMC	509	AUGUSTA VAMC	"1,009,121"	"1,006,840"	950 15TH STREET			AUGUSTA	"1,009,313"		30901-2608		950 15TH STREET			AUGUSTA	"1,009,313"		30901-2608	"1,009,231"	1	"1,002,207"			"1,002,207"	0	6/4/2004 1:18:48.000000 PM	5/10/2012 5:08:50.341501 PM	Initial Load	DataBroker - CQ# 0777 04/17/2012	VAMC	GA
"1,000,116"			VA MARYLAND HEALTH CARE SYS	512	VA MARYLAND HEALTH CARE SYS	"1,009,121"	"1,006,840"	10 N. GREENE STREET			BALTIMORE	"1,009,324"		21201-1524	"1,006,840"	10 N. GREENE STREET			BALTIMORE	"1,009,324"		21201-1524	"1,009,231"	1	"1,002,205"			"1,002,205"	0	6/4/2004 1:18:48.000000 PM	6/9/2016 10:07:16.012468 AM	Initial Load	DataBroker - CQ# 0943 5/4/2016	VAMC	MD
"1,000,119"			BATTLE CREEK VA MEDICAL CENTER	515	BATTLE CREEK VA MEDICAL CENTER	"1,009,121"	"1,006,840"	5500 ARMSTRONG ROAD			BATTLE CREEK	"1,009,326"		49037-7314	"1,006,840"	5500 ARMSTRONG ROAD			BATTLE CREEK	"1,009,326"		49037-7314	"1,009,231"	1	"1,002,210"			"1,002,210"	0	6/4/2004 1:18:48.000000 PM	6/9/2016 10:07:16.019959 AM	Initial Load	DataBroker - CQ# 0943 5/4/2016	VAMC	MI
"1,000,120"			C.W. BILL YOUNG DEPT OF VAMC	516	C.W. BILL YOUNG DEPT OF VAMC	"1,009,121"	"1,006,840"	10000 BAY PINES BLVD			ST PETERSBURG	"1,009,312"		33744-8298	"1,006,840"	PO BOX 5005			BAY PINES	"1,009,312"		33744-8298	"1,009,231"	1	"1,002,208"			"1,002,208"	0	6/4/2004 1:18:48.000000 PM	12/9/2015 9:44:39.364840 AM	Initial Load	DataBroker - CQ# 0936 11/03/2015	VAMC	FL
"1,000,121"			BECKLEY VA MEDICAL CENTER	517	BECKLEY VA MEDICAL CENTER	"1,009,121"	"1,006,840"	200 VETERANS AVENUE			BECKLEY	"1,009,354"		25801-6444	"1,006,840"	200 VETERANS AVENUE			BECKLEY	"1,009,354"		25801-6444	"1,009,231"	1	"1,002,205"			"1,002,205"	0	6/4/2004 1:18:48.000000 PM	6/9/2016 10:07:16.027200 AM	Initial Load	DataBroker - CQ# 0943 5/4/2016	VAMC	WV
"1,000,122"			EDITH NOURSE ROGERS VAMC	518	EDITH NOURSE ROGERS VAMC	"1,009,121"	"1,006,840"	200 SPRINGS ROAD			BEDFORD	"1,009,325"		01730-1114	"1,006,840"	200 SPRINGS ROAD			BEDFORD	"1,009,325"		01730-1114	"1,009,231"	1	"1,002,201"			"1,002,201"	0	6/4/2004 1:18:48.000000 PM	11/12/2015 10:15:05.554956 AM	Initial Load	DataBroker - CQ# 0935 10/07/2015	VAMC	MA
"1,000,123"			WEST TEXAS VA HEALTH CARE SYSTEM - BIG SPRING DIVISION	519	WEST TEXAS HCS	"1,009,121"	"1,006,840"	300 VETERANS BLVD.			BIG SPRING	"1,009,348"		79720-5566	"1,006,840"	300 VETERANS BLVD			BIG SPRING	"1,009,348"		79720-5566	"1,009,231"	1	"1,002,217"			"1,002,217"	0	6/4/2004 1:18:48.000000 PM	6/9/2016 10:07:16.034384 AM	Initial Load	DataBroker - CQ# 0943 5/4/2016	VAMC	TX
"1,000,124"			BILOXI VA MEDICAL CENTER	520	BILOXI VA MEDICAL CENTER	"1,009,121"	"1,006,840"	400 Veterans Ave			Biloxi	"1,009,328"		39531-2410	"1,006,840"	400 Veterans Ave			Biloxi	"1,009,328"		39531-2410	"1,009,231"	1	"1,002,216"			"1,002,216"	0	6/4/2004 1:18:48.000000 PM	12/9/2015 9:44:39.383852 AM	Initial Load	DataBroker - CQ# 0936 11/03/2015	VAMC	MS
"1,000,125"			BIRMINGHAM VAMC	521	BIRMINGHAM VAMC	"1,009,121"	"1,006,840"	700 South 19th Street			Birmingham	"1,009,301"		35233-1927	"1,006,840"	700 South 19th Street			Birmingham	"1,009,301"		35233-1927	"1,009,231"	1	"1,002,207"			"1,002,207"	0	6/4/2004 1:18:48.000000 PM	5/10/2012 5:08:50.366190 PM	Initial Load	DataBroker - CQ# 0777 04/17/2012	VAMC	AL
"1,000,127"			VA BOSTON HEALTHCARE SYSTEM - BOSTON DIVISION	523	BOSTON HCS VAMC	"1,009,121"	"1,006,840"	150 SOUTH HUNTINGTON AVENUE			BOSTON	"1,009,325"		02130-4893	"1,006,840"	150 SOUTH HUNTINGTON AVE			BOSTON	"1,009,325"		02130-4893	"1,009,231"	1	"1,002,201"			"1,002,201"	0	6/4/2004 1:18:48.000000 PM		Initial Load	PARENT ID CLEANUP	VAMC	MA
"1,000,196"			LOMA LINDA HCS	605	LOMA LINDA HCS	"1,009,121"	"1,006,840"	11201 BENTON ST			LOMA LINDA	"1,009,306"		92357-1000	"1,006,840"	11201 BENTON ST			LOMA LINDA	"1,009,306"		92357-1000	"1,009,231"	1	"1,002,222"			"1,002,222"	0	6/4/2004 1:18:48.000000 PM	5/10/2012 5:08:50.538563 PM	Initial Load	DataBroker - CQ# 0777 04/17/2012	VAMC	CA
"1,000,197"			WILLIAM S. MIDDLETON MEMORIAL VA HOSPITAL	607	WILLIAM S. MIDDLETON VAMC	"1,009,121"	"1,006,840"	2500 OVERLOOK TERR			MADISON	"1,009,355"		53705-2254	"1,006,840"	2500 OVERLOOK TERR			MADISON	"1,009,355"		53705-2254	"1,009,231"	1	"1,002,212"			"1,002,212"	0	6/4/2004 1:18:48.000000 PM	12/28/2015 11:05:27.159322 AM	Initial Load	DataBroker - CQ# 0938 12/09/2015	VAMC	WI
"1,000,198"			MANCHESTER VAMC	608	MANCHESTER VAMC	"1,009,121"	"1,006,840"	718 SMYTH ROAD			MANCHESTER	"1,009,333"		03104-7004	"1,006,840"	718 SMYTH ROAD			MANCHESTER	"1,009,333"		03104-7004	"1,009,231"	1	"1,002,201"			"1,002,201"	0	6/4/2004 1:18:48.000000 PM	5/10/2012 5:08:50.545253 PM	Initial Load	DataBroker - CQ# 0777 04/17/2012	VAMC	NH
"1,000,200"			MARION VA MEDICAL CENTER	610	MARION VA MEDICAL CENTER	"1,009,121"	"1,006,840"	1700 EAST 38TH STREET			MARION	"1,009,318"		46953-4568	"1,006,840"								"1,009,231"	1	"1,002,210"			"1,002,210"	0	6/4/2004 1:18:48.000000 PM	6/9/2016 10:07:16.113259 AM	Initial Load	DataBroker - CQ# 0943 5/4/2016	VAMC	IN
"1,000,202"			NORTHERN CALIFORNIA HCS	612	NORTHERN CALIFORNIA HCS	"1,009,121"	"1,006,840"	150 Muir Road			MARTINEZ	"1,009,306"		94553-4668									"1,009,231"	1	"1,002,221"			"1,002,221"	0	6/4/2004 1:18:48.000000 PM	12/28/2015 11:05:26.150514 AM	Initial Load	DataBroker - CQ# 0938 12/09/2015	VAMC	CA
"1,000,203"			MARTINSBURG VA MEDICAL CENTER	613	MARTINSBURG VA MEDICAL CENTER	"1,009,121"	"1,006,840"	510 BUTLER AVENUE			MARTINSBURG	"1,009,354"		25405-9990	"1,006,840"	510 BUTLER AVENUE			MARTINSBURG	"1,009,354"		25405-9990	"1,009,231"	1	"1,002,205"			"1,002,205"	0	6/4/2004 1:18:48.000000 PM	12/9/2015 9:44:39.582030 AM	Initial Load	DataBroker - CQ# 0936 11/03/2015	VAMC	WV
"1,000,204"			MEMPHIS VA MEDICAL CENTER	614	MEMPHIS VA MEDICAL CENTER	"1,009,121"	"1,006,840"	1030 JEFFERSON AVENUE			MEMPHIS	"1,009,347"		38104-2127	"1,006,840"	1030 JEFFERSON AVENUE			MEMPHIS	"1,009,347"		38104-2127	"1,009,231"	1	"1,002,209"			"1,002,209"	0	6/4/2004 1:18:48.000000 PM	12/9/2015 9:44:39.588962 AM	Initial Load	DataBroker - CQ# 0936 11/03/2015	VAMC	TN
"1,000,207"			MINNEAPOLIS VA HCS	618	MINNEAPOLIS VA HCS	"1,009,121"	"1,006,840"	ONE VETERANS DRIVE			MINNEAPOLIS	"1,009,327"		55417-2309	"1,006,840"	ONE VETERANS DRIVE			MINNEAPOLIS	"1,009,327"		55417-2309	"1,009,231"	1	"1,002,223"			"1,002,223"	0	6/4/2004 1:18:48.000000 PM	5/10/2012 5:08:50.564862 PM	Initial Load	DataBroker - CQ# 0777 04/17/2012	VAMC	MN
